community,size,edges,density
0,390,13585,0.1790916880891174
1,39,400,0.5398110661268556
2,255,13015,0.40188358808090163
3,184,9314,0.5532192919933476
4,78,1077,0.35864135864135865
5,27,234,0.6666666666666666
