node,community
Виктор Вексельберг,0
Вагит Алекперов,0
Алексей Никольский,0
Михаил Богданов,0
Роспатент,0
Р-Фарм,0
Марк Рютте,0
Лоран Вижье,0
PNK Group,0
Сергей Кириенко,0
ТНК-ВР,0
Владимир Лисин,0
Александр Дюков,0
Korea Investment Corporation,0
Павел Теплухин,0
Абсолютный бойцовский чемпионат (UFC),0
Северный морской путь (СМП),0
Дмитрий Баранов,0
Baring Vostok Private Equity Fund V,0
Максим Решетников,0
«Базовый элемент»,0
Tata Power,0
Кристин Лагард,0
Леонид Михельсон,0
Деловой совет,0
Жан-Клод Юнкер,0
Анатолий Чубайс,0
Антон Кобяков,0
Фосагро,0
Совкомбанк,0
Дмитрий Рогозин,0
ФБР,0
Александр Афанасьев,0
Эммануэль Макрон,0
Роман Абрамович,0
Магнит,0
Андрей Муров,0
Звезда,0
Линдси Грэм,0
Владимир Путин,0
Джордж Надер,0
Александр Винник,0
Интеррос,0
Михаил Леонтьев,0
Сергей Чемезов,0
Inventis Investment Holdings,0
Юникредит банка,0
Алексей Лихачев,0
Public Investment Fund (PIF),0
Валерий Фальков,0
Минэнерго,0
Детский мир,0
Строительство ЦКАД 3 и 4,0
Эрман Ылыджак,0
Kuwait Investment Authority,0
Алексей Чекунков,0
Игорь Сечин,0
Волтайр-Пром,0
Валдай,0
Томас Фрэнк,0
Моторика,0
АО Волтайр-Пром,0
Александр Хлопонин,0
Анастасия Ракова,0
TH Group,0
Дальневосточный федеральный университет (ДВФУ),0
Нефть России,0
Роснефть,0
ПАО «Газпром нефть»,0
Intel Capital,0
Мария Гордон,0
Деловая двадцатка,0
Александр Вучич,0
Интергео,0
Caisse des Depots International,0
Гонконгская биржа,0
CITIC Merchant,0
Владимир Миклушевский,0
Сириус,0
Восточный экономический форум (ВЭФ),0
Михаил Ковальчук,0
ВМС,0
Степь,0
Александр Абрамов,0
ОАО «ЛУКОЙЛ»,0
Saudi Arabian General Investment Authority SAGIA,0
Олег Трутнев,0
Трансконтейнер,0
Андрей Костин,0
Удокан,0
Алексей Улюкаев,0
Алексей Гордеев,0
Внуково,0
Александр Галицкий,0
Олег Дерипаска,0
Тина Канделаки,0
Игорь Артемьев,0
Владимир Потанин,0
Хабиб Нурмагомедов,0
Маурицио Таманьини,0
Анатолий Костырев,0
Аркадий Волож,0
Кирилл Дмитриев,0
Алексей Кузнецов,0
Елена Шмелева,0
Алексис Родзянко,0
Российский фонд прямых инвестиций (РФПИ),0
Сальман бен Абдель Азиз Аль Сауд,0
Александр Шохин,0
ДКС,0
Доминик Стросс-Кан,0
ОПЕК+,0
Курт Бьерклунд,0
Медси,0
Ильхам Алиев,0
Петербургский международный экономический форум (ПМЭФ),0
Доктис,0
Алексей Миллер,0
Хартмут Медорн,1
Дмитрий Патрушев,1
Николай Подгузов,1
Евгений Дитрих,1
Объединенная авиастроительная корпорация,1
Вадим Ахметов,1
Алексей Цыденов,1
Василий Сидоров,1
Владимир Якунин,1
Геннадий Шмаль,1
Совкомфлота,1
ОАО «РЖД»,1
Глеб Никитин,1
Николай Токарев,1
Росагролизинг,1
Сергей Недорослев,1
Григорий Березкин,1
Михаил Расстригин,1
Станислав Воскресенский,1
Маттиас Варниг,1
Лев Кузнецов,1
Илья Клебанов,1
Валерий Шанцев,1
Союз нефтегазопромышленников,1
Nord Stream 2 AG,1
Сергей Франк,1
ПАО «Транснефть»,1
Александр Корсик,1
Дарья Василевская,1
Кристиан Керн,1
Андрей Иванов,1
Максим Акимов,1
Каскол,1
Наталья Тимакова,1
Аркадий Дворкович,1
Фонд содействия реформированию жилищно-коммунального хозяйства,1
Олег Белозеров,1
Александр Рязанов,1
Сергей Степашин,1
Палата представителей,2
Русский стандарт,2
Вячеслав Володин,2
Зиявудин Магомедов,2
Евгении Васильевой,2
Виктор Янукович,2
Минпромторг,2
Mail.ru Group,2
МСФО,2
СУЭК,2
Дмитрий Рылов,2
Организация Североатлантического договора (НАТО),2
Андрей Клишас,2
Ренессанс Капитал,2
Николя Саркози,2
МТС Украина,2
Ксения Юдаева,2
ЕГРЮЛ,2
Билайн,2
Михаил Мишустин,2
Европейская комиссия,2
СБУ,2
Всемирная организация здравоохранения (ВОЗ),2
Paul Heth,2
ВСУ,2
Григорий Карасин,2
Дикси,2
Минтруда,2
Юлия Тимошенко,2
Всероссийский союз страховщиков ВСС,2
Главное разведывательное управление (ГРУ),2
Михаил Ходорковский,2
ЕвроХим,2
Роскомнадзор,2
Федеральная резервная система (ФРС),2
Vimpelcom Ltd,2
Дмитрий Чернышенко,2
Сергей Миронов,2
Анна Политковская,2
Элла Памфилова,2
Минстрой,2
Наталья Сергунина,2
Евгений Федоров,2
Николай Лагун,2
Министерство культуры,2
Юрий Барсуков,2
Росстат,2
Андрей Мельниченко,2
Промсвязьбанк,2
Коммунистическая партия Российской Федерации (КПРФ),2
ИГИЛ,2
Скартел,2
Минюст,2
Уралсиб,2
Администрация президента,2
ПАО «МТС»,2
Владимир Зеленский,2
ЦРУ,2
Денис Логунов,2
АСВ,2
Ростехнадзор,2
Василь Лацанич,2
Российская венчурная компания,2
Министерства обороны,2
Хиллари Клинтон,2
Центробанк,2
Сергей Аксенов,2
Роснедра,2
АФГ Националь,2
Минприрода,2
МВидео,2
Владимир Мау,2
Согаз,2
Борис Добродеев,2
Связной,2
Левада-центр,2
Иван Таврин,2
Министерство финансов,2
ММДМ,2
НПФ,2
Генеральный штаб,2
Дельта Банк,2
Верховная рада,2
Росфинмониторинг,2
ГМК Норильский никель,2
Центризбиркома,2
Дмитрий Сергеев,2
ТЭК,2
Alibaba Group,2
Анатолий Сердюков,2
ОАО «ВымпелКом»,2
Валерий Федоров,2
Урсула фон дер Ляйен,2
AliExpress Russia,2
Альфа-групп,2
Уралхим,2
Центр стратегических разработок,2
Домодедово,2
Владимир Ефимов,2
Владимир Якушев,2
Следственный комитет России (СКР),2
Виталий Савельев,2
Европейский союз,2
КИТ Финанс,2
Николас Мадуро,2
Андрей Ушацкий,2
Почта России,2
Совет по правам человека (СПЧ),2
ОАО «Мобильные ТелеСистемы,2
Московский метрополитен,2
Реджеп Тайип Эрдоган,2
Аэрофлот,2
Тройка Диалог,2
ОАО «МегаФон»,2
Алексей Сазанов,2
Верховный суд,2
Алексей Навальный,2
Алексей Корня,2
Владимир Черников,2
НТВ,2
Сергей Швецов,2
Конституционный суд,2
Т2 РТК Холдинг,2
Ленэнерго,2
Федеральная служба безопасности (ФСБ),2
Сахалин-1,2
Норникель,2
Дмитрий Солодовников,2
Башара Асада,2
Пенсионный фонд России (ПФР),2
Сумма,2
Андрей Колесников,2
Мария Захарова,2
Александр Лукашенко,2
Нурсултан Назарбаев,2
Виктор Иванов,2
J’son & Partners Consulting,2
Александр Волошин,2
