community,size,edges,density
0,157,2340,0.1910828025477707
1,109,1653,0.2808358817533129
2,139,1349,0.14065269523511625
3,118,1099,0.1592061422569897
4,271,11901,0.3252972529725297
5,30,323,0.7425287356321839
